,generation,mother,father,child,child_no,mutation
0,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.61|0.93|0.91|0.21|6|7|19|6|7|6|3|3,1.0,-0.32|-0.7000000000000001|-0.3400000000000001|0.26|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|6|7|25|16|5|2|4|9,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0
2,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.5|0.92|0.33|0.77|10|7|25|16|5|6|4|8,3.0,-0.21000000000000002|-0.6900000000000001|0.23999999999999994|-0.30000000000000004|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|9|16|19|6|5|2|4|3,4.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
4,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|6|16|25|16|7|5|4|3,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
5,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|10|16|18|6|7|6|3|3,6.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0
6,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|6|7|25|16|6|6|4|3,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
7,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|10|15|25|16|5|2|4|3,8.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.14|0.12|0.67|0.16|6|7|19|16|5|2|4|8,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.29|0.23|0.57|0.47|6|7|19|16|5|2|4|9,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0
9,2,0.84|0.23|0.4|0.2|12|7|20|6|5|3|3|6,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.64|0.29|0.44|0.49|13|10|21|7|7|3|3|3,1.0,0.0|0.0|0.0|0.0|-3.0|-3.0|-1.0|-1.0|0.0|0.0|0.0|0.0
10,2,0.84|0.23|0.4|0.2|12|7|20|6|5|3|3|6,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.64|0.29|0.44|0.49|12.0|7.0|20.0|6.0|5|6|2|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
11,2,0.84|0.23|0.4|0.2|12|7|20|6|5|3|3|6,0.44|0.34|0.48|0.78|10|16|25|6|7|6|3|3,0.64|0.29|0.44|0.49|12|15|25|6|5|3|3|3,3.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
