,generation,mother,father,child,child_no,mutation
0,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|9|18|14|11|5|4|4|2|9|6|3|7|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|20|15|11|13|11|9|18|11|21|5|4|4|9|9|6|3|4|7|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|2.0|10.0|10.0|5.0|5.0|3.0|5.0|15.0|2.0|3.0|5|4|5|9|9|9|8|7|7|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|10.0|4.0|6.0|8.0|8.0|11.0|3.0|12.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|17|15|11|13|11|16|18|11|11|5|4|5|9|3|9|8|4|7|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
4,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|2.0|5.0|2.0|10.0|5.0|15.0|3.0|15.0|6.0|15.0|5|6|4|9|2|9|8|4|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|15.0|13.0|5.0|8.0|-4.0|13.0|3.0|8.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|14|15|7|24|9|21|14|21|4|5|5|2|3|7|3|4|6|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|-1.0|-1.0|0.0|0.0|1.0|0.0
6,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|11|13|24|9|18|14|21|5|6|5|9|8|9|8|4|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
8,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|16|15|13|11|16|21|14|11|5|4|4|9|9|9|3|4|7|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,10.0,0.07|0.25|0.2|-0.06|-0.44|0.65|0.37|0.66|0.42|0.04|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
