,generation,mother,father,child,child_no,mutation
0,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|17|21|7|14|11|3|4|6|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.64|0.57|0.69|0.79|0.29|0.38|13|16|21|7|14|11|3|4|6|2|2|2,2.0,-0.3|0.30000000000000004|0.29000000000000004|0.16999999999999993|-0.29|0.20999999999999996|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|15|21|7|14|11|3|4|6|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13.0|16.0|21.0|7.0|14.0|11.0|3|4|6|2|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|2|4|7|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|-1.0|0.0|0.0|0.0
5,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|22|7|14|11|3|4|6|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|8|14|11|3|5|6|2|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
7,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|16|16|21|10|17|11|3|4|6|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|-3.0|0.0|0.0|-3.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,7,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|3|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
9,8,0.34|0.87|0.98|0.96|0.0|0.59|13|15|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|13|16|21|7|14|11|3|4|6|2|2|2,0.34|0.87|0.98|0.96|0.0|0.59|14|16|21|7|14|11|3|4|6|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
