,generation,mother,father,child,child_no,mutation
0,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.84|0.49|0.4|0.48|0.26|0.52|0.48|6|9|25|7|26|20|23|4|7|4|5|7|3|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
1,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.68|0.38|0.27|0.5|0.25|0.96|0.09|6|9|25|23|4|8|23|5|7|4|2|7|4|2,2.0,0.15999999999999992|0.10999999999999999|0.13|-0.020000000000000018|0.010000000000000009|-0.43999999999999995|0.39|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.84|0.49|0.4|0.48|0.26|0.52|0.48|9|16|27|9|29|23|13|5|7|3|5|7|4|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|1.0|-2.0|-2.0|-3.0|-3.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.84|0.49|0.4|0.48|0.26|0.52|0.48|6|17|25|23|4|20|12|4|3|3|2|7|3|5,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.97|0.98|0.98|0.81|0.57|0.25|0.47|6|9|16|7|4|8|23|4|7|4|5|7|3|2,5.0,-0.13|-0.49|-0.58|-0.33000000000000007|-0.30999999999999994|0.27|0.010000000000000009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.84|0.49|0.4|0.48|0.26|0.52|0.48|6|17|16|7|4|20|12|4|3|4|2|7|3|5,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.24|0.0|0.27|0.92|0.5|0.86|0.97|6|17|16|7|4|8|23|5|7|4|2|7|3|5,7.0,0.6|0.49|0.13|-0.44000000000000006|-0.24|-0.33999999999999997|-0.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.84|0.49|0.4|0.48|0.26|0.52|0.48|6|17|25|7|4|8|23|5|8|4|2|7|4|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
8,1,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.85|0.38|0.77|0.29|0.26|0.72|0.43|6|17|25|7|4|20|23|5|7|3|2|7|3|5,0.84|0.49|0.4|0.48|0.26|0.52|0.48|7|17|16|23|5|20|23|4|7|3|5|7|3|5,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,2,0.97|0.98|0.98|0.81|0.57|0.25|0.47|6|9|16|7|4|8|23|4|7|4|5|7|3|2,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.05|0.71|0.45|0.75|0.12|0.74|0.89|7|9|16|7|26|8|12|4|3|4|5|7|3|2,1.0,0.85|0.08000000000000007|0.04999999999999999|-0.010000000000000009|0.29|-0.45999999999999996|-0.39|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,2,0.97|0.98|0.98|0.81|0.57|0.25|0.47|6|9|16|7|4|8|23|4|7|4|5|7|3|2,0.82|0.6|0.02|0.66|0.25|0.31|0.54|7|9|16|23|26|8|12|4|3|4|5|7|4|2,0.9|0.79|0.5|0.74|0.41|0.28|0.5|6|9|16|22|26|8|12|4|7|4|5|7|4|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
