,generation,mother,father,child,child_no,mutation
0,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18.0|18.0|29.0|17.0|22.0|17.0|5.0|11.0|20.0|3|2|2|3|3|3|7|9|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
1,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|4|2|2|2|4|2|6|9|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|1.0|-1.0|1.0|0.0|0.0|0.0
2,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|4|2|2|4|2|2|6|8|5,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|-1.0|1.0|1.0|0.0|1.0|1.0
3,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|2|3|6|9|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0
4,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|18|22|17|5|11|20|3|2|2|3|3|3|6|9|6,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18.0|18.0|29.0|17.0|22.0|17.0|5.0|11.0|20.0|3|2|2|3|3|3|6|9|6,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|19|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|6|11|20|3|2|2|3|3|3|6|9|6,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,2,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|17|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|28|17|22|17|5|11|20|3|2|2|3|3|4|6|9|6,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
9,3,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18.0|18.0|29.0|17.0|22.0|17.0|5.0|11.0|20.0|3|2|2|3|3|3|7|9|6,0.38|0.56|0.39|0.18|0.74|0.54|0.66|0.43|0.14|18|18|29|18|22|17|5|11|20|3|2|2|3|3|3|6|9|6,0.26|0.38|0.01|0.68|0.62|0.28|0.91|0.89|0.78|18.0|18.0|29.0|17.0|22.0|17.0|5.0|11.0|20.0|3|2|2|3|3|3|7|9|6,1.0,0.12|0.18000000000000005|0.38|-0.5|0.12|0.26|-0.25|-0.46|-0.64|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
