,generation,mother,father,child,child_no,mutation
0,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
1,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|20|20|11|3|8|4|2|4|9|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|20|20|25|19|8|8|3|4|9|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
3,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|11|19|28|4|8|8|8|4|8|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|-3.0|-1.0|-2.0|0.0|0.0|0.0|0.0|0.0
4,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|11|20|25|3|8|4|8|4|7|6,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
5,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|10|5|11|19|8|4|8|4|9|6,6.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|11|5|11|19|6|4|2|4|9|6,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.68|0.18|0.74|0.26|0.5|11|5|11|19|6|4|8|4|8|2,8.0,-0.020000000000000018|0.41|-0.08999999999999997|0.06|-0.13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.55|0.22|0.5|0.18|0.74|11|20|11|3|8|4|8|4|8|6,0.77|0.96|0.8|0.47|0.0|20|5|25|19|6|8|2|4|9|2,0.66|0.59|0.65|0.32|0.37|11|5|25|19|8|9|2|4|10|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|-1.0|0.0
9,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.17|0.47|0.41|0.04|0.88|11|6|25|3|19|9|7|4|9|6,1.0,0.5399999999999999|0.09999999999999998|0.37000000000000005|0.19|-0.36|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.71|0.57|0.78|0.23|0.52|6|5|25|12|19|9|7|8|9|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
11,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.71|0.57|0.78|0.23|0.52|6|5|5|3|19|9|8|4|5|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
12,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.71|0.57|0.78|0.23|0.52|11|6|25|12|19|8|7|9|9|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
13,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.44|0.82|0.62|0.1|0.74|11|6|25|3|8|9|7|4|4|6,5.0,0.26999999999999996|-0.25|0.16000000000000003|0.13|-0.21999999999999997|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.71|0.57|0.78|0.23|0.52|11|4|5|3|19|9|7|4|4|6,6.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.76|0.07|0.1|0.73|0.11|6|6|25|12|8|7|7|9|9|6,7.0,-0.050000000000000044|0.49999999999999994|0.68|-0.5|0.41000000000000003|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.71|0.57|0.78|0.23|0.52|10|6|8|3|10|9|7|9|9|6,8.0,0.0|0.0|0.0|0.0|0.0|1.0|-1.0|-3.0|0.0|-2.0|0.0|0.0|0.0|0.0|0.0
17,2,0.66|0.59|0.65|0.32|0.37|11|5|25|3|8|9|8|4|9|6,0.76|0.56|0.9|0.14|0.68|6|6|5|12|19|7|7|9|4|6,0.71|0.57|0.78|0.23|0.52|14|4|25|12|21|9|8|9|9|6,9.0,0.0|0.0|0.0|0.0|0.0|-3.0|1.0|0.0|0.0|-2.0|0.0|0.0|0.0|0.0|0.0
18,3,0.06|0.97|0.78|0.61|0.33|4|10|7|3|21|2|9|4|8|3,0.17|0.46|0.23|0.46|0.61|4|17|13|4|8|7|3|4|3|8,0.12|0.72|0.5|0.54|0.47|4|16|13|4|8|7|8|4|3|3,1.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
19,3,0.06|0.97|0.78|0.61|0.33|4|10|7|3|21|2|9|4|8|3,0.17|0.46|0.23|0.46|0.61|4|17|13|4|8|7|3|4|3|8,0.12|0.72|0.5|0.54|0.47|4|16|13|3|8|2|3|3|8|8,2.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
20,3,0.06|0.97|0.78|0.61|0.33|4|10|7|3|21|2|9|4|8|3,0.17|0.46|0.23|0.46|0.61|4|17|13|4|8|7|3|4|3|8,0.12|0.72|0.5|0.54|0.47|4|17|13|4|21|6|9|4|8|3,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0
21,3,0.06|0.97|0.78|0.61|0.33|4|10|7|3|21|2|9|4|8|3,0.17|0.46|0.23|0.46|0.61|4|17|13|4|8|7|3|4|3|8,0.23|0.79|0.75|0.82|0.16|4|17|13|3|21|2|9|4|8|8,4.0,-0.11000000000000001|-0.07000000000000006|-0.25|-0.2799999999999999|0.30999999999999994|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
