,generation,mother,father,child,child_no,mutation
0,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|21|11|2|4|5|4|5|6|3|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
1,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.64|0.46|0.84|0.19|0.27|0.13|0.52|0.93|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,2.0,-0.43000000000000005|0.51|-0.45999999999999996|0.69|0.57|0.38|-0.19|-0.20000000000000007|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|6|4|6|6|4|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|-1.0|0.0
3,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|3|4|5|4|6|6|3|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|17|21|22|14|27|20|11|2|4|5|4|6|6|3|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|4|4|7|6|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|-1.0|0.0|1.0|0.0
6,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|15|27|20|11|2|4|5|4|6|6|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
7,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|21|11|2|4|5|4|6|6|3|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,6,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|4|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
9,7,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|16|21|22|14|27|20|11|2|4|5|4|6|6|4|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|17|21|22|14|27|20|11|2|4|5|4|6|6|3|2,0.21|0.97|0.38|0.88|0.84|0.51|0.33|0.73|23|17|21|22|14|27|19|11|2|4|5|4|6|6|3|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
