,generation,mother,father,child,child_no
0,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.93-0.09-0.13-0.33-0.84-0.11-0.68-0.34-0.69-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,1.0
1,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.01-0.41-0.44-0.63-0.22-0.77-0.83-0.97-0.16-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,2.0
2,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,3.0
3,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.4-0.13-0.76-0.67-0.35-0.92-0.49-0.86-0.39-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,4.0
4,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-3-2-2-7-3-3-3-7,5.0
5,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-6-2-4-3-6,6.0
6,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-15-20-22-18-9-16-23-14-13-2-3-2-2-6-3-3-3-7,7.0
7,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-17-21-25-20-9-18-23-13-16-2-3-2-2-7-3-3-3-7,8.0
8,1,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-17-9-16-23-14-13-2-3-3-2-7-3-3-3-7,9.0
9,2,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-6-2-4-3-6,0.81-0.34-0.96-0.32-0.14-0.05-0.79-0.89-0.89-14-20-22-18-9-16-23-14-13-2-3-2-2-6-3-3-3-7,1.0
10,2,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-6-2-4-3-6,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-3-4-3-2-6-2-5-3-7,2.0
11,2,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-6-2-4-3-6,0.54-0.6-0.38-0.98-0.96-0.84-0.27-0.73-0.02-14-20-22-18-9-16-23-13-13-2-3-2-2-6-2-4-3-7,3.0
12,2,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-6-2-4-3-6,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-4-2-2-6-3-3-3-6,4.0
13,2,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-13-13-2-3-2-2-7-3-3-3-7,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-9-16-23-14-13-2-3-2-2-6-2-4-3-6,0.17-0.95-0.28-0.91-0.58-0.14-0.81-0.6-0.58-14-20-22-18-10-16-23-14-13-2-3-2-2-6-3-4-3-7,5.0
