n,k,m,distance
1,2,1,1.026385
1,2,2,1.340848
1,2,3,1.5127
1,2,4,1.600973
1,2,5,1.666321
1,2,6,1.711881
1,2,7,1.746224
1,2,8,1.77484
1,2,9,1.798233
1,2,10,1.815909
1,2,11,1.828955
1,2,12,1.843061
1,2,13,1.853924
1,2,14,1.861865
1,2,15,1.871726
1,2,16,1.879646
1,2,17,1.885479
1,2,18,1.893555
1,2,19,1.898323
1,2,20,1.90355
1,2,21,1.909448
1,2,22,1.911385
1,2,23,1.917245
1,2,24,1.920431
1,2,25,1.92362
1,2,26,1.927059
1,2,27,1.932087
1,2,28,1.932288
1,2,29,1.934536
1,2,30,1.937434
1,3,1,1.026385
1,3,2,1.340848
1,3,3,1.5127
1,3,4,1.600973
1,3,5,1.666321
1,3,6,1.711881
1,3,7,1.746224
1,3,8,1.77484
1,3,9,1.798233
1,3,10,1.815909
1,3,11,1.828955
1,3,12,1.843061
1,3,13,1.853924
1,3,14,1.861865
1,3,15,1.871726
1,3,16,1.879646
1,3,17,1.885479
1,3,18,1.893555
1,3,19,1.898323
1,3,20,1.90355
1,3,21,1.909448
1,3,22,1.911385
1,3,23,1.917245
1,3,24,1.920431
1,3,25,1.92362
1,3,26,1.927059
1,3,27,1.932087
1,3,28,1.932288
1,3,29,1.934536
1,3,30,1.937434
1,4,1,1.026385
1,4,2,1.340848
1,4,3,1.5127
1,4,4,1.600973
1,4,5,1.666321
1,4,6,1.711881
1,4,7,1.746224
1,4,8,1.77484
1,4,9,1.798233
1,4,10,1.815909
1,4,11,1.828955
1,4,12,1.843061
1,4,13,1.853924
1,4,14,1.861865
1,4,15,1.871726
1,4,16,1.879646
1,4,17,1.885479
1,4,18,1.893555
1,4,19,1.898323
1,4,20,1.90355
1,4,21,1.909448
1,4,22,1.911385
1,4,23,1.917245
1,4,24,1.920431
1,4,25,1.92362
1,4,26,1.927059
1,4,27,1.932087
1,4,28,1.932288
1,4,29,1.934536
1,4,30,1.937434
1,5,1,1.026385
1,5,2,1.340848
1,5,3,1.5127
1,5,4,1.600973
1,5,5,1.666321
1,5,6,1.711881
1,5,7,1.746224
1,5,8,1.77484
1,5,9,1.798233
1,5,10,1.815909
1,5,11,1.828955
1,5,12,1.843061
1,5,13,1.853924
1,5,14,1.861865
1,5,15,1.871726
1,5,16,1.879646
1,5,17,1.885479
1,5,18,1.893555
1,5,19,1.898323
1,5,20,1.90355
1,5,21,1.909448
1,5,22,1.911385
1,5,23,1.917245
1,5,24,1.920431
1,5,25,1.92362
1,5,26,1.927059
1,5,27,1.932087
1,5,28,1.932288
1,5,29,1.934536
1,5,30,1.937434
1,6,1,1.026385
1,6,2,1.340848
1,6,3,1.5127
1,6,4,1.600973
1,6,5,1.666321
1,6,6,1.711881
1,6,7,1.746224
1,6,8,1.77484
1,6,9,1.798233
1,6,10,1.815909
1,6,11,1.828955
1,6,12,1.843061
1,6,13,1.853924
1,6,14,1.861865
1,6,15,1.871726
1,6,16,1.879646
1,6,17,1.885479
1,6,18,1.893555
1,6,19,1.898323
1,6,20,1.90355
1,6,21,1.909448
1,6,22,1.911385
1,6,23,1.917245
1,6,24,1.920431
1,6,25,1.92362
1,6,26,1.927059
1,6,27,1.932087
1,6,28,1.932288
1,6,29,1.934536
1,6,30,1.937434
1,7,1,1.026385
1,7,2,1.340848
1,7,3,1.5127
1,7,4,1.600973
1,7,5,1.666321
1,7,6,1.711881
1,7,7,1.746224
1,7,8,1.77484
1,7,9,1.798233
1,7,10,1.815909
1,7,11,1.828955
1,7,12,1.843061
1,7,13,1.853924
1,7,14,1.861865
1,7,15,1.871726
1,7,16,1.879646
1,7,17,1.885479
1,7,18,1.893555
1,7,19,1.898323
1,7,20,1.90355
1,7,21,1.909448
1,7,22,1.911385
1,7,23,1.917245
1,7,24,1.920431
1,7,25,1.92362
1,7,26,1.927059
1,7,27,1.932087
1,7,28,1.932288
1,7,29,1.934536
1,7,30,1.937434
1,8,1,1.026385
1,8,2,1.340848
1,8,3,1.5127
1,8,4,1.600973
1,8,5,1.666321
1,8,6,1.711881
1,8,7,1.746224
1,8,8,1.77484
1,8,9,1.798233
1,8,10,1.815909
1,8,11,1.828955
1,8,12,1.843061
1,8,13,1.853924
1,8,14,1.861865
1,8,15,1.871726
1,8,16,1.879646
1,8,17,1.885479
1,8,18,1.893555
1,8,19,1.898323
1,8,20,1.90355
1,8,21,1.909448
1,8,22,1.911385
1,8,23,1.917245
1,8,24,1.920431
1,8,25,1.92362
1,8,26,1.927059
1,8,27,1.932087
1,8,28,1.932288
1,8,29,1.934536
1,8,30,1.937434
1,9,1,1.026385
1,9,2,1.340848
1,9,3,1.5127
1,9,4,1.600973
1,9,5,1.666321
1,9,6,1.711881
1,9,7,1.746224
1,9,8,1.77484
1,9,9,1.798233
1,9,10,1.815909
1,9,11,1.828955
1,9,12,1.843061
1,9,13,1.853924
1,9,14,1.861865
1,9,15,1.871726
1,9,16,1.879646
1,9,17,1.885479
1,9,18,1.893555
1,9,19,1.898323
1,9,20,1.90355
1,9,21,1.909448
1,9,22,1.911385
1,9,23,1.917245
1,9,24,1.920431
1,9,25,1.92362
1,9,26,1.927059
1,9,27,1.932087
1,9,28,1.932288
1,9,29,1.934536
1,9,30,1.937434
1,10,1,1.026385
1,10,2,1.340848
1,10,3,1.5127
1,10,4,1.600973
1,10,5,1.666321
1,10,6,1.711881
1,10,7,1.746224
1,10,8,1.77484
1,10,9,1.798233
1,10,10,1.815909
1,10,11,1.828955
1,10,12,1.843061
1,10,13,1.853924
1,10,14,1.861865
1,10,15,1.871726
1,10,16,1.879646
1,10,17,1.885479
1,10,18,1.893555
1,10,19,1.898323
1,10,20,1.90355
1,10,21,1.909448
1,10,22,1.911385
1,10,23,1.917245
1,10,24,1.920431
1,10,25,1.92362
1,10,26,1.927059
1,10,27,1.932087
1,10,28,1.932288
1,10,29,1.934536
1,10,30,1.937434
2,2,1,1.026382
2,2,2,1.5100665
2,2,3,1.7609855
2,2,4,1.8736035
2,2,5,1.9354935
2,2,6,1.964935
2,2,7,1.9839515
2,2,8,1.9939455
2,2,9,1.9969935
2,2,10,1.998467
2,2,11,1.999868
2,2,12,1.9998365
2,2,13,1.999891
2,2,14,1.999793
2,2,15,1.999893
2,2,16,1.999923
2,2,17,1.999896
2,2,18,2.0
2,2,19,2.0
2,2,20,2.0
2,2,21,2.0
2,2,22,2.0
2,2,23,2.0
2,2,24,2.0
2,2,25,2.0
2,2,26,2.0
2,2,27,2.0
2,2,28,2.0
2,2,29,2.0
2,2,30,2.0
2,3,1,1.026382
2,3,2,1.376394
2,3,3,1.5776165
2,3,4,1.707838
2,3,5,1.8142885
2,3,6,1.901049
2,3,7,1.976542
2,3,8,2.037312
2,3,9,2.084572
2,3,10,2.1234945
2,3,11,2.152578
2,3,12,2.181478
2,3,13,2.198785
2,3,14,2.221743
2,3,15,2.2360055
2,3,16,2.249313
2,3,17,2.267966
2,3,18,2.280258
2,3,19,2.2885645
2,3,20,2.2977855
2,3,21,2.3107115
2,3,22,2.3188805
2,3,23,2.3267875
2,3,24,2.33325
2,3,25,2.3421855
2,3,26,2.341086
2,3,27,2.351172
2,3,28,2.356916
2,3,29,2.359215
2,3,30,2.367258
2,4,1,1.026382
2,4,2,1.3576995
2,4,3,1.5426985
2,4,4,1.646039
2,4,5,1.7341085
2,4,6,1.795672
2,4,7,1.853995
2,4,8,1.895985
2,4,9,1.93135
2,4,10,1.9665905
2,4,11,1.9879165
2,4,12,2.009666
2,4,13,2.032183
2,4,14,2.0476095
2,4,15,2.066341
2,4,16,2.081135
2,4,17,2.0943405
2,4,18,2.1093525
2,4,19,2.118185
2,4,20,2.1278125
2,4,21,2.140791
2,4,22,2.149697
2,4,23,2.157588
2,4,24,2.1642255
2,4,25,2.172084
2,4,26,2.1745335
2,4,27,2.183196
2,4,28,2.1894865
2,4,29,2.192974
2,4,30,2.200312
2,5,1,1.026382
2,5,2,1.348706
2,5,3,1.5277445
2,5,4,1.627064
2,5,5,1.701679
2,5,6,1.7571625
2,5,7,1.802779
2,5,8,1.842189
2,5,9,1.8735185
2,5,10,1.8988305
2,5,11,1.921452
2,5,12,1.940099
2,5,13,1.960125
2,5,14,1.972693
2,5,15,1.988508
2,5,16,2.004101
2,5,17,2.010847
2,5,18,2.028603
2,5,19,2.038477
2,5,20,2.047318
2,5,21,2.0591315
2,5,22,2.0659075
2,5,23,2.0739805
2,5,24,2.080584
2,5,25,2.0882795
2,5,26,2.0946625
2,5,27,2.100948
2,5,28,2.1062065
2,5,29,2.110742
2,5,30,2.1180025
2,6,1,1.026382
2,6,2,1.3450485
2,6,3,1.519816
2,6,4,1.6151835
2,6,5,1.687085
2,6,6,1.7395835
2,6,7,1.7798495
2,6,8,1.8192885
2,6,9,1.8454595
2,6,10,1.8676035
2,6,11,1.8857935
2,6,12,1.9059205
2,6,13,1.922514
2,6,14,1.933596
2,6,15,1.948402
2,6,16,1.9616155
2,6,17,1.969856
2,6,18,1.9849065
2,6,19,1.992521
2,6,20,2.0014265
2,6,21,2.0113345
2,6,22,2.0175735
2,6,23,2.0261305
2,6,24,2.031593
2,6,25,2.0397805
2,6,26,2.04577
2,6,27,2.051147
2,6,28,2.056443
2,6,29,2.0608855
2,6,30,2.0677935
2,7,1,1.026382
2,7,2,1.345726
2,7,3,1.5198945
2,7,4,1.612881
2,7,5,1.6827175
2,7,6,1.7323825
2,7,7,1.772739
2,7,8,1.8047425
2,7,9,1.83059
2,7,10,1.852142
2,7,11,1.8691265
2,7,12,1.8876235
2,7,13,1.9020315
2,7,14,1.912848
2,7,15,1.927354
2,7,16,1.937686
2,7,17,1.9481995
2,7,18,1.9594225
2,7,19,1.9660075
2,7,20,1.9750095
2,7,21,1.9841335
2,7,22,1.988862
2,7,23,1.997939
2,7,24,2.003009
2,7,25,2.010002
2,7,26,2.0148485
2,7,27,2.0203605
2,7,28,2.0262355
2,7,29,2.0293935
2,7,30,2.0359795
2,8,1,1.026382
2,8,2,1.34415
2,8,3,1.518305
2,8,4,1.6088715
2,8,5,1.6782845
2,8,6,1.7259745
2,8,7,1.765348
2,8,8,1.7964675
2,8,9,1.821741
2,8,10,1.8420215
2,8,11,1.858404
2,8,12,1.874077
2,8,13,1.8879045
2,8,14,1.8977445
2,8,15,1.9120065
2,8,16,1.9225795
2,8,17,1.9320305
2,8,18,1.9419785
2,8,19,1.948238
2,8,20,1.9564095
2,8,21,1.965015
2,8,22,1.970272
2,8,23,1.9772105
2,8,24,1.982517
2,8,25,1.988981
2,8,26,1.993462
2,8,27,1.998595
2,8,28,2.004176
2,8,29,2.0081615
2,8,30,2.0132705
2,9,1,1.026382
2,9,2,1.3420965
2,9,3,1.5167465
2,9,4,1.607407
2,9,5,1.6746335
2,9,6,1.721204
2,9,7,1.7598895
2,9,8,1.790892
2,9,9,1.816769
2,9,10,1.83606
2,9,11,1.850594
2,9,12,1.8653985
2,9,13,1.8792845
2,9,14,1.8886125
2,9,15,1.9021275
2,9,16,1.911913
2,9,17,1.920291
2,9,18,1.930231
2,9,19,1.9365985
2,9,20,1.945178
2,9,21,1.9528465
2,9,22,1.957687
2,9,23,1.963417
2,9,24,1.9691255
2,9,25,1.974597
2,9,26,1.978796
2,9,27,1.985044
2,9,28,1.9887385
2,9,29,1.9923865
2,9,30,1.9965205
2,10,1,1.026382
2,10,2,1.3430495
2,10,3,1.515121
2,10,4,1.604329
2,10,5,1.67123
2,10,6,1.718435
2,10,7,1.75497
2,10,8,1.78669
2,10,9,1.8113555
2,10,10,1.8301975
2,10,11,1.844859
2,10,12,1.8604335
2,10,13,1.873652
2,10,14,1.882303
2,10,15,1.894325
2,10,16,1.9043945
2,10,17,1.912854
2,10,18,1.9222735
2,10,19,1.928702
2,10,20,1.936173
2,10,21,1.942826
2,10,22,1.947432
2,10,23,1.9544815
2,10,24,1.958976
2,10,25,1.9642075
2,10,26,1.967126
2,10,27,1.9743575
2,10,28,1.97681
2,10,29,1.981504
2,10,30,1.9836655
3,2,1,1.026395
3,2,2,1.566852
3,2,3,1.9145575
3,2,4,2.169964
3,2,5,2.3652285
3,2,6,2.536086
3,2,7,2.686771
3,2,8,2.8296445
3,2,9,2.920232
3,2,10,3.0071835
3,2,11,3.0790615
3,2,12,3.1448315
3,2,13,3.2052475
3,2,14,3.252837
3,2,15,3.303444
3,2,16,3.3381755
3,2,17,3.369661
3,2,18,3.407552
3,2,19,3.4371835
3,2,20,3.469722
3,2,21,3.4842155
3,2,22,3.5110965
3,2,23,3.53518
3,2,24,3.5531075
3,2,25,3.56473
3,2,26,3.589108
3,2,27,3.6018155
3,2,28,3.6105815
3,2,29,3.629516
3,2,30,3.641633
3,3,1,1.026395
3,3,2,1.389341
3,3,3,1.612444
3,3,4,1.788271
3,3,5,1.943423
3,3,6,2.088348
3,3,7,2.2183085
3,3,8,2.3296915
3,3,9,2.422013
3,3,10,2.5043975
3,3,11,2.5701655
3,3,12,2.6379005
3,3,13,2.694777
3,3,14,2.736856
3,3,15,2.7800575
3,3,16,2.823733
3,3,17,2.861545
3,3,18,2.893939
3,3,19,2.9313025
3,3,20,2.95865
3,3,21,2.977591
3,3,22,3.0047
3,3,23,3.033796
3,3,24,3.0424575
3,3,25,3.0625085
3,3,26,3.080658
3,3,27,3.0944345
3,3,28,3.1028565
3,3,29,3.1234695
3,3,30,3.1344
3,4,1,1.026395
3,4,2,1.362457
3,4,3,1.559764
3,4,4,1.686042
3,4,5,1.8021505
3,4,6,1.903899
3,4,7,2.00427
3,4,8,2.08828
3,4,9,2.168828
3,4,10,2.2463845
3,4,11,2.3073675
3,4,12,2.3717985
3,4,13,2.436049
3,4,14,2.483712
3,4,15,2.533112
3,4,16,2.5827325
3,4,17,2.62609
3,4,18,2.6686575
3,4,19,2.710862
3,4,20,2.750288
3,4,21,2.7847735
3,4,22,2.8198455
3,4,23,2.851024
3,4,24,2.876103
3,4,25,2.902026
3,4,26,2.931265
3,4,27,2.953056
3,4,28,2.97184
3,4,29,2.9957215
3,4,30,3.0137985
3,5,1,1.026395
3,5,2,1.3505815
3,5,3,1.534357
3,5,4,1.649857
3,5,5,1.747878
3,5,6,1.827606
3,5,7,1.9035535
3,5,8,1.972327
3,5,9,2.030922
3,5,10,2.0928015
3,5,11,2.150431
3,5,12,2.200924
3,5,13,2.253137
3,5,14,2.3010135
3,5,15,2.344365
3,5,16,2.3890545
3,5,17,2.427071
3,5,18,2.47289
3,5,19,2.508226
3,5,20,2.553399
3,5,21,2.5874705
3,5,22,2.621937
3,5,23,2.6641555
3,5,24,2.6819815
3,5,25,2.719185
3,5,26,2.747065
3,5,27,2.777528
3,5,28,2.8025515
3,5,29,2.8276195
3,5,30,2.847704
3,6,1,1.026395
3,6,2,1.3470945
3,6,3,1.5278625
3,6,4,1.633187
3,6,5,1.7216925
3,6,6,1.7895365
3,6,7,1.8561735
3,6,8,1.9167105
3,6,9,1.96599
3,6,10,2.012987
3,6,11,2.05654
3,6,12,2.104891
3,6,13,2.1455795
3,6,14,2.186009
3,6,15,2.2276405
3,6,16,2.2625705
3,6,17,2.297467
3,6,18,2.3378565
3,6,19,2.375294
3,6,20,2.4113785
3,6,21,2.447476
3,6,22,2.47594
3,6,23,2.5103315
3,6,24,2.535983
3,6,25,2.5683875
3,6,26,2.592307
3,6,27,2.628547
3,6,28,2.648907
3,6,29,2.6759215
3,6,30,2.7038495
3,7,1,1.026395
3,7,2,1.3465525
3,7,3,1.522458
3,7,4,1.6241305
3,7,5,1.703517
3,7,6,1.767545
3,7,7,1.825234
3,7,8,1.876906
3,7,9,1.921713
3,7,10,1.9651155
3,7,11,2.0027635
3,7,12,2.0405635
3,7,13,2.081895
3,7,14,2.112332
3,7,15,2.147964
3,7,16,2.1813625
3,7,17,2.214957
3,7,18,2.24485
3,7,19,2.2780655
3,7,20,2.313341
3,7,21,2.341139
3,7,22,2.375377
3,7,23,2.4018125
3,7,24,2.4282
3,7,25,2.457168
3,7,26,2.482417
3,7,27,2.513048
3,7,28,2.5361185
3,7,29,2.5584315
3,7,30,2.584053
3,8,1,1.026395
3,8,2,1.3459745
