n,k,m,distance
1.0,2.0,1.0,1.026385
1.0,2.0,2.0,1.340848
1.0,2.0,3.0,1.5127
1.0,2.0,4.0,1.600973
1.0,2.0,5.0,1.666321
1.0,2.0,6.0,1.711881
1.0,2.0,7.0,1.746224
1.0,2.0,8.0,1.77484
1.0,2.0,9.0,1.798233
1.0,2.0,10.0,1.815909
1.0,2.0,11.0,1.828955
1.0,2.0,12.0,1.843061
1.0,2.0,13.0,1.853924
1.0,2.0,14.0,1.861865
1.0,2.0,15.0,1.871726
1.0,2.0,16.0,1.879646
1.0,2.0,17.0,1.885479
1.0,2.0,18.0,1.893555
1.0,2.0,19.0,1.898323
1.0,2.0,20.0,1.90355
1.0,2.0,21.0,1.909448
1.0,2.0,22.0,1.911385
1.0,2.0,23.0,1.917245
1.0,2.0,24.0,1.920431
1.0,2.0,25.0,1.92362
1.0,2.0,26.0,1.927059
1.0,2.0,27.0,1.932087
1.0,2.0,28.0,1.932288
1.0,2.0,29.0,1.934536
1.0,2.0,30.0,1.937434
1.0,3.0,1.0,1.026385
1.0,3.0,2.0,1.340848
1.0,3.0,3.0,1.5127
1.0,3.0,4.0,1.600973
1.0,3.0,5.0,1.666321
1.0,3.0,6.0,1.711881
1.0,3.0,7.0,1.746224
1.0,3.0,8.0,1.77484
1.0,3.0,9.0,1.798233
1.0,3.0,10.0,1.815909
1.0,3.0,11.0,1.828955
1.0,3.0,12.0,1.843061
1.0,3.0,13.0,1.853924
1.0,3.0,14.0,1.861865
1.0,3.0,15.0,1.871726
1.0,3.0,16.0,1.879646
1.0,3.0,17.0,1.885479
1.0,3.0,18.0,1.893555
1.0,3.0,19.0,1.898323
1.0,3.0,20.0,1.90355
1.0,3.0,21.0,1.909448
1.0,3.0,22.0,1.911385
1.0,3.0,23.0,1.917245
1.0,3.0,24.0,1.920431
1.0,3.0,25.0,1.92362
1.0,3.0,26.0,1.927059
1.0,3.0,27.0,1.932087
1.0,3.0,28.0,1.932288
1.0,3.0,29.0,1.934536
1.0,3.0,30.0,1.937434
1.0,4.0,1.0,1.026385
1.0,4.0,2.0,1.340848
1.0,4.0,3.0,1.5127
1.0,4.0,4.0,1.600973
1.0,4.0,5.0,1.666321
1.0,4.0,6.0,1.711881
1.0,4.0,7.0,1.746224
1.0,4.0,8.0,1.77484
1.0,4.0,9.0,1.798233
1.0,4.0,10.0,1.815909
1.0,4.0,11.0,1.828955
1.0,4.0,12.0,1.843061
1.0,4.0,13.0,1.853924
1.0,4.0,14.0,1.861865
1.0,4.0,15.0,1.871726
1.0,4.0,16.0,1.879646
1.0,4.0,17.0,1.885479
1.0,4.0,18.0,1.893555
1.0,4.0,19.0,1.898323
1.0,4.0,20.0,1.90355
1.0,4.0,21.0,1.909448
1.0,4.0,22.0,1.911385
1.0,4.0,23.0,1.917245
1.0,4.0,24.0,1.920431
1.0,4.0,25.0,1.92362
1.0,4.0,26.0,1.927059
1.0,4.0,27.0,1.932087
1.0,4.0,28.0,1.932288
1.0,4.0,29.0,1.934536
1.0,4.0,30.0,1.937434
1.0,5.0,1.0,1.026385
1.0,5.0,2.0,1.340848
1.0,5.0,3.0,1.5127
1.0,5.0,4.0,1.600973
1.0,5.0,5.0,1.666321
1.0,5.0,6.0,1.711881
1.0,5.0,7.0,1.746224
1.0,5.0,8.0,1.77484
1.0,5.0,9.0,1.798233
1.0,5.0,10.0,1.815909
1.0,5.0,11.0,1.828955
1.0,5.0,12.0,1.843061
1.0,5.0,13.0,1.853924
1.0,5.0,14.0,1.861865
1.0,5.0,15.0,1.871726
1.0,5.0,16.0,1.879646
1.0,5.0,17.0,1.885479
1.0,5.0,18.0,1.893555
1.0,5.0,19.0,1.898323
1.0,5.0,20.0,1.90355
1.0,5.0,21.0,1.909448
1.0,5.0,22.0,1.911385
1.0,5.0,23.0,1.917245
1.0,5.0,24.0,1.920431
1.0,5.0,25.0,1.92362
1.0,5.0,26.0,1.927059
1.0,5.0,27.0,1.932087
1.0,5.0,28.0,1.932288
1.0,5.0,29.0,1.934536
1.0,5.0,30.0,1.937434
1.0,6.0,1.0,1.026385
1.0,6.0,2.0,1.340848
1.0,6.0,3.0,1.5127
1.0,6.0,4.0,1.600973
1.0,6.0,5.0,1.666321
1.0,6.0,6.0,1.711881
1.0,6.0,7.0,1.746224
1.0,6.0,8.0,1.77484
1.0,6.0,9.0,1.798233
1.0,6.0,10.0,1.815909
1.0,6.0,11.0,1.828955
1.0,6.0,12.0,1.843061
1.0,6.0,13.0,1.853924
1.0,6.0,14.0,1.861865
1.0,6.0,15.0,1.871726
1.0,6.0,16.0,1.879646
1.0,6.0,17.0,1.885479
1.0,6.0,18.0,1.893555
1.0,6.0,19.0,1.898323
1.0,6.0,20.0,1.90355
1.0,6.0,21.0,1.909448
1.0,6.0,22.0,1.911385
1.0,6.0,23.0,1.917245
