A4
428
37064.4
0,0.0,1,2
174,0.0,2,2
108,0.0,1,2
300,0.0,1,2
204,0.0,3,2
144,212.0,1,3
186,264.0,2,10
132,0.0,2,6
282,0.0,3,2
204,98.67,3,2
156,0.0,1,2
96,177.0,2,9
36,254.0,2,6
186,0.0,2,2
78,282.0,2,10
186,142.0,2,2
96,0.0,2,2
54,0.0,1,4
144,0.0,1,2
264,0.0,1,3
222,0.0,3,2
30,0.0,1,2
114,314.0,3,9
294,105.33,1,3
36,112.0,2,2
276,0.0,1,2
60,175.33,3,10
150,0.0,1,3
174,142.0,2,10
234,185.33,1,4
258,112.0,1,2
114,102.0,3,2
198,0.0,1,2
48,0.0,1,3
6,0.0,2,2
222,185.33,2,2
114,0.0,3,2
246,0.0,3,2
204,267.33,3,2
240,0.0,1,2
270,0.0,1,3
18,0.0,2,2
60,0.0,3,2
282,105.33,2,10
246,112.0,2,2
90,0.0,1,2
78,0.0,2,2
36,0.0,2,2
162,0.0,2,7
306,0.0,1,2
