n,k,m,distance
1,2,1,1.00000001
1,2,2,1.00000001
1,2,3,1.00000002
1,2,4,1.00000002
1,2,5,1.00000002
1,2,6,1.00000002
1,2,7,1.00000002
1,2,8,1.00000002
1,2,9,1.00000002
1,2,10,1.00000002
1,2,11,1.00000002
1,2,12,1.00000002
1,2,13,1.00000002
1,2,14,1.00000002
1,2,15,1.00000002
1,2,16,1.00000002
1,2,17,1.00000002
1,2,18,1.00000002
1,2,19,1.00000002
1,2,20,1.00000002
1,2,21,1.00000002
1,2,22,1.00000002
1,2,23,1.00000002
1,2,24,1.00000002
1,2,25,1.00000002
1,2,26,1.00000002
1,2,27,1.00000002
1,2,28,1.00000002
1,2,29,1.00000002
1,2,30,1.00000002
1,3,1,2.02000001
1,3,2,2.50500001
1,3,3,2.76200002
1,3,4,2.86500002
1,3,5,2.92700002
1,3,6,2.95800002
1,3,7,2.97700002
1,3,8,2.99600002
1,3,9,2.99700002
1,3,10,2.99900002
1,3,11,3.00000002
1,3,12,3.00000002
1,3,13,3.00000002
1,3,14,3.00000002
1,3,15,3.00000002
1,3,16,3.00000002
1,3,17,3.00000002
1,3,18,3.00000002
1,3,19,3.00000002
1,3,20,3.00000002
1,3,21,3.00000002
1,3,22,3.00000002
1,3,23,3.00000002
1,3,24,3.00000002
1,3,25,3.00000002
1,3,26,3.00000002
1,3,27,3.00000002
1,3,28,3.00000002
1,3,29,3.00000002
1,3,30,3.00000002
1,4,1,3.07000001
1,4,2,3.91600001
1,4,3,4.38500002
1,4,4,4.60300002
1,4,5,4.73100002
1,4,6,4.82800002
1,4,7,4.88400002
1,4,8,4.92900002
1,4,9,4.95800002
1,4,10,4.96400002
1,4,11,4.97000002
1,4,12,4.98600002
1,4,13,4.98800002
1,4,14,4.99600002
1,4,15,4.99500002
1,4,16,4.99700002
1,4,17,4.99900002
1,4,18,4.99900002
1,4,19,4.99800002
1,4,20,4.99700002
1,4,21,5.00000002
1,4,22,4.99900002
1,4,23,5.00000002
1,4,24,5.00000002
1,4,25,5.00000002
1,4,26,5.00000002
1,4,27,5.00000002
1,4,28,5.00000002
1,4,29,4.99900002
1,4,30,5.00000002
1,5,1,4.08900001
1,5,2,5.29900001
1,5,3,5.94700002
1,5,4,6.26100002
1,5,5,6.45400002
1,5,6,6.61500002
1,5,7,6.70600002
1,5,8,6.79500002
1,5,9,6.85300002
1,5,10,6.89400002
1,5,11,6.90400002
1,5,12,6.94100002
1,5,13,6.95200002
1,5,14,6.96700002
1,5,15,6.97000002
1,5,16,6.97300002
1,5,17,6.98500002
1,5,18,6.98700002
1,5,19,6.98900002
1,5,20,6.99000002
1,5,21,6.99300002
1,5,22,6.99500002
1,5,23,6.99800002
1,5,24,6.99700002
1,5,25,6.99600002
1,5,26,6.99600002
1,5,27,6.99900002
1,5,28,6.99900002
1,5,29,6.99800002
1,5,30,7.00000002
1,6,1,5.11400001
1,6,2,6.64300001
1,6,3,7.45700002
1,6,4,7.87400002
1,6,5,8.17400002
1,6,6,8.37500002
1,6,7,8.51000002
1,6,8,8.61700002
1,6,9,8.71800002
1,6,10,8.78500002
1,6,11,8.81600002
1,6,12,8.86100002
1,6,13,8.88900002
1,6,14,8.90900002
1,6,15,8.93200002
1,6,16,8.94200002
1,6,17,8.94800002
1,6,18,8.96400002
1,6,19,8.97100002
1,6,20,8.97500002
1,6,21,8.97700002
1,6,22,8.98300002
1,6,23,8.98800002
1,6,24,8.99000002
1,6,25,8.98900002
1,6,26,8.99100002
1,6,27,8.99700002
1,6,28,8.99400002
1,6,29,8.99500002
1,6,30,8.99700002
1,7,1,6.14100001
1,7,2,7.97400001
1,7,3,8.99900002
1,7,4,9.50400002
1,7,5,9.85900002
1,7,6,10.10600002
1,7,7,10.29800002
1,7,8,10.44900002
1,7,9,10.55200002
1,7,10,10.63500002
1,7,11,10.67800002
1,7,12,10.73800002
1,7,13,10.78300002
1,7,14,10.81300002
1,7,15,10.85900002
1,7,16,10.87500002
1,7,17,10.89000002
1,7,18,10.91700002
1,7,19,10.93000002
1,7,20,10.94400002
1,7,21,10.95500002
1,7,22,10.95100002
1,7,23,10.96600002
1,7,24,10.96800002
1,7,25,10.97400002
1,7,26,10.97700002
1,7,27,10.99300002
1,7,28,10.98800002
1,7,29,10.98800002
1,7,30,10.99500002
1,8,1,7.20500001
1,8,2,9.35600001
1,8,3,10.51600002
1,8,4,11.11600002
1,8,5,11.55500002
1,8,6,11.84700002
1,8,7,12.06000002
1,8,8,12.24200002
1,8,9,12.37400002
1,8,10,12.47700002
1,8,11,12.54300002
1,8,12,12.61300002
1,8,13,12.67100002
1,8,14,12.71200002
1,8,15,12.76300002
1,8,16,12.80100002
1,8,17,12.81100002
1,8,18,12.85100002
1,8,19,12.87800002
1,8,20,12.89300002
1,8,21,12.90400002
1,8,22,12.91300002
1,8,23,12.93300002
1,8,24,12.93500002
1,8,25,12.94800002
1,8,26,12.95900002
1,8,27,12.97200002
1,8,28,12.96600002
1,8,29,12.97300002
1,8,30,12.98200002
1,9,1,8.21400001
1,9,2,10.69300001
1,9,3,12.04800002
1,9,4,12.72500002
1,9,5,13.22200002
1,9,6,13.56400002
1,9,7,13.82000002
1,9,8,14.03500002
1,9,9,14.21200002
1,9,10,14.32200002
1,9,11,14.40400002
1,9,12,14.50300002
1,9,13,14.56100002
1,9,14,14.62100002
1,9,15,14.65900002
1,9,16,14.71100002
1,9,17,14.73600002
1,9,18,14.79100002
1,9,19,14.81300002
1,9,20,14.83500002
1,9,21,14.86300002
1,9,22,14.86400002
1,9,23,14.88800002
1,9,24,14.90500002
1,9,25,14.91100002
1,9,26,14.92900002
1,9,27,14.94700002
1,9,28,14.94700002
1,9,29,14.94800002
1,9,30,14.95900002
1,10,1,9.25400001
1,10,2,12.04700001
1,10,3,13.56600002
1,10,4,14.33700002
1,10,5,14.91100002
1,10,6,15.30300002
1,10,7,15.58500002
1,10,8,15.82500002
1,10,9,16.02600002
1,10,10,16.16700002
1,10,11,16.24800002
1,10,12,16.37800002
1,10,13,16.45900002
1,10,14,16.50800002
1,10,15,16.57200002
1,10,16,16.63600002
1,10,17,16.66500002
1,10,18,16.72500002
1,10,19,16.75300002
1,10,20,16.78600002
1,10,21,16.82100002
1,10,22,16.82000002
1,10,23,16.84700002
1,10,24,16.86900002
1,10,25,16.87700002
1,10,26,16.90100002
1,10,27,16.92700002
1,10,28,16.92200002
1,10,29,16.93000002
1,10,30,16.94200002
2,2,1,1.00000001
2,2,2,1.49750002
2,2,3,1.75850002
2,2,4,1.87850002
2,2,5,1.94050002
2,2,6,1.97000002
2,2,7,1.98350002
2,2,8,1.99450002
2,2,9,1.99550002
2,2,10,1.99900002
2,2,11,2.00000002
2,2,12,1.99950002
2,2,13,2.00000002
2,2,14,2.00000002
2,2,15,2.00000002
2,2,16,2.00000002
2,2,17,2.00000002
2,2,18,2.00000002
2,2,19,2.00000002
2,2,20,2.00000002
2,2,21,2.00000002
2,2,22,2.00000002
2,2,23,2.00000002
2,2,24,2.00000002
2,2,25,2.00000002
2,2,26,2.00000002
2,2,27,2.00000002
2,2,28,2.00000002
2,2,29,2.00000002
2,2,30,2.00000002
2,3,1,2.02000001
2,3,2,2.75100001
2,3,3,3.13500002
2,3,4,3.35750002
2,3,5,3.51200002
2,3,6,3.62400002
2,3,7,3.73400002
2,3,8,3.80450002
2,3,9,3.84950002
2,3,10,3.89200002
2,3,11,3.91650002
2,3,12,3.94000002
2,3,13,3.94850002
2,3,14,3.95950002
2,3,15,3.96850002
2,3,16,3.97700002
2,3,17,3.98500002
2,3,18,3.98850002
2,3,19,3.99450002
2,3,20,3.99400002
2,3,21,3.99450002
2,3,22,3.99850002
2,3,23,3.99850002
2,3,24,3.99650002
2,3,25,3.99850002
2,3,26,3.99850002
2,3,27,4.00000002
2,3,28,4.00000002
2,3,29,4.00000002
2,3,30,3.99950002
2,4,1,3.07200001
2,4,2,4.07750001
2,4,3,4.62400002
2,4,4,4.91750002
2,4,5,5.12500002
2,4,6,5.28400002
2,4,7,5.42200002
2,4,8,5.53400002
2,4,9,5.60300002
