n,k,m,distance
1.0,2.0,1.0,1.00000001
1.0,2.0,2.0,1.00000001
1.0,2.0,3.0,1.00000002
1.0,2.0,4.0,1.00000002
1.0,2.0,5.0,1.00000002
1.0,2.0,6.0,1.00000002
1.0,2.0,7.0,1.00000002
1.0,2.0,8.0,1.00000002
1.0,2.0,9.0,1.00000002
1.0,2.0,10.0,1.00000002
1.0,2.0,11.0,1.00000002
1.0,2.0,12.0,1.00000002
1.0,2.0,13.0,1.00000002
1.0,2.0,14.0,1.00000002
1.0,2.0,15.0,1.00000002
1.0,2.0,16.0,1.00000002
1.0,2.0,17.0,1.00000002
1.0,2.0,18.0,1.00000002
1.0,2.0,19.0,1.00000002
1.0,2.0,20.0,1.00000002
1.0,2.0,21.0,1.00000002
1.0,2.0,22.0,1.00000002
1.0,2.0,23.0,1.00000002
1.0,2.0,24.0,1.00000002
1.0,2.0,25.0,1.00000002
1.0,2.0,26.0,1.00000002
1.0,2.0,27.0,1.00000002
1.0,2.0,28.0,1.00000002
1.0,2.0,29.0,1.00000002
1.0,2.0,30.0,1.00000002
1.0,3.0,1.0,2.02000001
1.0,3.0,2.0,2.50500001
1.0,3.0,3.0,2.76200002
1.0,3.0,4.0,2.86500002
1.0,3.0,5.0,2.92700002
1.0,3.0,6.0,2.95800002
1.0,3.0,7.0,2.97700002
1.0,3.0,8.0,2.99600002
1.0,3.0,9.0,2.99700002
1.0,3.0,10.0,2.99900002
1.0,3.0,11.0,3.00000002
1.0,3.0,12.0,3.00000002
1.0,3.0,13.0,3.00000002
1.0,3.0,14.0,3.00000002
1.0,3.0,15.0,3.00000002
1.0,3.0,16.0,3.00000002
1.0,3.0,17.0,3.00000002
1.0,3.0,18.0,3.00000002
1.0,3.0,19.0,3.00000002
1.0,3.0,20.0,3.00000002
1.0,3.0,21.0,3.00000002
1.0,3.0,22.0,3.00000002
1.0,3.0,23.0,3.00000002
1.0,3.0,24.0,3.00000002
1.0,3.0,25.0,3.00000002
1.0,3.0,26.0,3.00000002
1.0,3.0,27.0,3.00000002
1.0,3.0,28.0,3.00000002
1.0,3.0,29.0,3.00000002
1.0,3.0,30.0,3.00000002
1.0,4.0,1.0,3.07000001
1.0,4.0,2.0,3.91600001
1.0,4.0,3.0,4.38500002
1.0,4.0,4.0,4.60300002
1.0,4.0,5.0,4.73100002
1.0,4.0,6.0,4.82800002
1.0,4.0,7.0,4.88400002
1.0,4.0,8.0,4.92900002
1.0,4.0,9.0,4.95800002
1.0,4.0,10.0,4.96400002
1.0,4.0,11.0,4.97000002
1.0,4.0,12.0,4.98600002
1.0,4.0,13.0,4.98800002
1.0,4.0,14.0,4.99600002
1.0,4.0,15.0,4.99500002
1.0,4.0,16.0,4.99700002
1.0,4.0,17.0,4.99900002
1.0,4.0,18.0,4.99900002
1.0,4.0,19.0,4.99800002
