A4
401
25526.46
0,0.0,1,2
185,0.0,1,3
135,0.0,1,4
195,0.0,2,2
105,0.0,1,5
20,0.0,1,2
235,0.0,1,2
210,0.0,1,4
35,0.0,1,6
15,0.0,1,3
65,0.0,1,3
25,0.0,1,3
40,0.0,1,3
115,0.0,1,2
220,0.0,1,2
245,0.0,1,2
190,0.0,1,4
50,0.0,1,4
85,0.0,2,5
45,0.0,1,2
120,0.0,1,10
125,0.0,1,4
205,0.0,1,5
75,0.0,1,4
225,0.0,2,4
240,0.0,1,2
175,0.0,1,6
60,0.0,1,5
55,0.0,1,5
110,0.0,1,4
215,0.0,1,2
260,0.0,1,3
140,0.0,1,4
30,0.0,1,2
180,0.0,1,5
100,0.0,1,2
155,0.0,1,3
255,0.0,1,4
150,0.0,1,2
70,0.0,1,3
80,0.0,1,3
145,0.0,1,6
95,0.0,1,5
10,0.0,1,4
5,0.0,1,5
250,0.0,1,2
130,0.0,1,4
170,0.0,1,2
165,0.0,1,5
160,0.0,1,4
